,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
count,14754.0,14754.0,14754.0,14754.0,14754.0,14754.0,14754.0,14754.0,14754.0
mean,554.8411956079707,1573.4064992544393,470.619239607431,3.905991663277755,3.5791642266504,2979.846088802215,3817.304089060594,8303.864656364376,555.5054222583706
std,320.88053935949443,575.5195200426932,180.76013521659877,0.07570198197452803,0.11611533388761733,1231.0867111257976,1352.7542999313398,665.6834893449471,320.93179152003194
min,1.0,720.0,172.0,3.65,3.206,915.5120000001044,1412.31,5742.11,1.0
25%,271.0,1171.44,320.40162500040606,3.846,3.491,1839.1916428571565,2564.36,7837.345,280.0
50%,558.5,1553.045,438.4285714281723,3.905,3.574,2918.344000000041,3788.38,8308.54,552.0
75%,831.0,1899.7925,596.0,3.97,3.663,4058.318000000203,4978.0675,8751.94,839.75
max,1132.0,8414.98,1435.0080000000053,4.255,3.983,5508.993000000002,10026.69,14986.88,1133.0
